address,ml_risk,diagnostic_risk,decline_trend_label,signal,n_years_data,ll97_penalty_2024,ll97_penalty_2030,eui,energy_star,dob_jobs,cluster_name,cluster_risk,uncertain_reason
52 CHAMBERS ST,0.978,Uncertain,stable,big_drop,1,0,200450,17.7,76,2,Pre-War Stable — Low Signal,Low,Insufficient data: only 1 year(s) of steam data
1 WEST END AVENUE,0.978,High,stable,big_drop,2,0,509463,,83,0,Pre-War Active — Permit-Driven Churn,High,
111 BROADWAY,0.978,High,decelerating,big_drop,3,0,382007,22.4,79,14,Low-Compliance Commercial — Quiet Attrition,High,
475 PARK AVENUE SOUTH,0.977,High,accelerating,big_drop,3,0,0,5.6,94,2,Low-Compliance Commercial — Quiet Attrition,High,
110 EAST 57TH ST,0.977,High,stable,big_drop,2,0,79167,26.3,78,0,Large Commercial — Capital Mobilized,Medium,
190 EAST 72ND STREET,0.977,High,stable,big_drop,2,0,0,,92,1,Pre-War Active — Permit-Driven Churn,High,
767 FIFTH AVENUE,0.977,High,stable,big_drop,2,0,1421248,,75,37,Low-Compliance Commercial — Quiet Attrition,High,
663 FIFTH AVENUE,0.976,High,accelerating,big_drop,3,0,75289,20.6,,1,Pre-War Stable — Low Signal,Low,
100 CHURCH STREET,0.976,High,accelerating,big_drop,3,0,163020,,82,1,Pre-War Active — Permit-Driven Churn,High,
579 FIFTH AVENUE,0.975,High,decelerating,big_drop,3,0,6850,,89,2,Pre-War Stable — Low Signal,Low,
225 EAST 72ND STREET,0.973,High,stable,big_drop,2,10652,80864,,89,0,Large Commercial — Capital Mobilized,Medium,
80 & 90 MAIDEN LANE,0.973,High,accelerating,big_drop,3,0,0,,,0,Pre-War Stable — Low Signal,Low,
569 LEXINGTON AVE,0.972,High,stable,big_drop,2,0,0,2.8,89,2,Pre-War Active — Permit-Driven Churn,High,
620 FIFTH AVENUE,0.972,High,stable,big_drop,2,165873,321316,,22,4,Mid-Size Post-War — Moderate Signal,Medium,
1275  YORK AVE,0.972,High,stable,big_drop,2,0,4620292,,,0,Pre-War Active — Permit-Driven Churn,High,
390 PARK AVENUE,0.971,High,accelerating,big_drop,3,0,148581,,47,10,Low-Compliance Commercial — Quiet Attrition,High,
1410 BROADWAY,0.971,High,decelerating,big_drop,3,0,0,,77,3,Pre-War Stable — Low Signal,Low,
40 WEST 57TH STREET,0.971,High,decelerating,big_drop,3,0,467198,,77,13,Low-Compliance Commercial — Quiet Attrition,High,
"360 PARK AVENUE SOUTH, NEW YORK",0.969,Uncertain,stable,big_drop,1,0,155342,,,12,Low-Compliance Commercial — Quiet Attrition,High,Insufficient data: only 1 year(s) of steam data
80 MAIDEN LANE,0.968,High,accelerating,big_drop,3,0,0,7.0,83,2,Pre-War Stable — Low Signal,Low,
136 E 57TH ST,0.968,High,stable,big_drop,2,0,16387,,70,0,Pre-War Stable — Low Signal,Low,
430 E 67 ST,0.967,High,stable,big_drop,2,1663487,2037457,,,1,Pre-War Active — Permit-Driven Churn,High,
160 WATER ST,0.965,Uncertain,stable,big_drop,1,28430,535942,20.2,,0,Pre-War Active — Permit-Driven Churn,High,Insufficient data: only 1 year(s) of steam data
609 FIFTH AVENUE,0.965,High,stable,big_drop,2,0,0,,45,1,Pre-War Stable — Low Signal,Low,
360 EAST 72ND STREET,0.962,High,stable,big_drop,2,51152,494819,0.3,41,0,Pre-War Active — Permit-Driven Churn,High,
1460 BROADWAY,0.962,High,stable,big_drop,2,0,0,,99,0,Pre-War Stable — Low Signal,Low,
201/205  EAST  42ND  ST.,0.962,High,stable,big_drop,2,135189,618604,45.1,60,3,Low-Compliance Commercial — Quiet Attrition,High,
150 NASSAU STREET,0.961,High,stable,big_drop,2,90356,203073,27.6,4,3,Mid-Size Post-War — Moderate Signal,Medium,
206 WEST 46TH STREET,0.959,High,stable,big_drop,2,0,40307,7.7,,0,Large Commercial — Capital Mobilized,Medium,
1470 FIRST AVENUE,0.955,High,accelerating,big_drop,3,0,32082,18.8,77,1,Large Commercial — Capital Mobilized,Medium,
111 EAST 33RD STREET,0.954,High,stable,big_drop,2,0,0,3.6,80,0,Pre-War Active — Permit-Driven Churn,High,
745 FIFTH AVE.,0.952,High,stable,big_drop,2,0,3371,,76,11,Low-Compliance Commercial — Quiet Attrition,High,
ELEVEN PENN PLAZA,0.948,High,stable,big_drop,2,0,78044,10.5,75,7,Low-Compliance Commercial — Quiet Attrition,High,
125 WEST 55TH STREET,0.944,High,stable,big_drop,2,0,64013,9.3,71,3,Low-Compliance Commercial — Quiet Attrition,High,
139 EAST 63RD ST,0.941,High,stable,big_drop,2,0,0,0.3,38,2,Large Commercial — Capital Mobilized,Medium,
320 EAST 43RD STREET,0.94,High,accelerating,big_drop,3,0,7186,,65,1,Pre-War Active — Permit-Driven Churn,High,
20 LINCOLN CTR,0.94,Uncertain,stable,big_drop,1,0,244251,34.9,,1,Pre-War Active — Permit-Driven Churn,High,Insufficient data: only 1 year(s) of steam data
413 EAST 69TH STREET,0.833,High,stable,mod_drop,2,1927954,2398992,,,0,Pre-War Active — Permit-Driven Churn,High,
225 EAST 36TH STREET,0.823,High,stable,mod_drop,2,0,82383,31.4,100,0,Pre-War Active — Permit-Driven Churn,High,
